X--Trace 1::[I(C2:1) | I(PR2)];Y--Trace 1::[I(C2:1) | I(PR2)];;X--Trace 2::[V(out2) | V(PR1)];Y--Trace 2::[V(out2) | V(PR1)]
1.01742E-05;-0.007349073;;1.01742E-05;10.07498421
1.01752E-05;-0.007349074;;1.01752E-05;10.07164372
1.01762E-05;-0.007349075;;1.01762E-05;10.06830323
1.01772E-05;-0.007349076;;1.01772E-05;10.06496274
1.01782E-05;-0.007349078;;1.01782E-05;10.06162225
1.01792E-05;-0.007349079;;1.01792E-05;10.05828176
1.01802E-05;-0.00734908;;1.01802E-05;10.05494127
1.01812E-05;-0.007349081;;1.01812E-05;10.05160078
1.01822E-05;-0.007349082;;1.01822E-05;10.04826029
1.01832E-05;-0.007349083;;1.01832E-05;10.04491979
1.01842E-05;-0.007349085;;1.01842E-05;10.0415793
1.01852E-05;-0.007349086;;1.01852E-05;10.03823881
1.01862E-05;-0.007349087;;1.01862E-05;10.03489832
1.01872E-05;-0.007349088;;1.01872E-05;10.03155782
1.01882E-05;-0.007349089;;1.01882E-05;10.02821733
1.01892E-05;-0.00734909;;1.01892E-05;10.02487683
1.01902E-05;-0.007349091;;1.01902E-05;10.02153634
1.01912E-05;-0.007349092;;1.01912E-05;10.01819584
1.01922E-05;-0.007349093;;1.01922E-05;10.01485534
1.01932E-05;-0.007349094;;1.01932E-05;10.01151485
1.01942E-05;-0.007349096;;1.01942E-05;10.00817435
1.01952E-05;-0.007349097;;1.01952E-05;10.00483385
1.01962E-05;-0.007349098;;1.01962E-05;10.00149335
1.01972E-05;-0.007349099;;1.01972E-05;9.998152851
1.01982E-05;-0.0073491;;1.01982E-05;9.994812351
1.01992E-05;-0.007349101;;1.01992E-05;9.991471851
1.02002E-05;-0.007349102;;1.02002E-05;9.988131351
1.02012E-05;-0.007349103;;1.02012E-05;9.98479085
1.02022E-05;-0.007349104;;1.02022E-05;9.981450348
1.02032E-05;-0.007349105;;1.02032E-05;9.978109846
1.02042E-05;-0.007349106;;1.02042E-05;9.974769343
1.02052E-05;-0.007349107;;1.02052E-05;9.97142884
1.02062E-05;-0.007349108;;1.02062E-05;9.968088337
1.02072E-05;-0.007349109;;1.02072E-05;9.964747833
1.02082E-05;-0.00734911;;1.02082E-05;9.961407329
1.02092E-05;-0.007349111;;1.02092E-05;9.958066824
1.02102E-05;-0.007349112;;1.02102E-05;9.954726319
1.02112E-05;-0.007349113;;1.02112E-05;9.951385813
1.02122E-05;-0.007349114;;1.02122E-05;9.948045307
1.02132E-05;-0.007349115;;1.02132E-05;9.9447048
1.02142E-05;-0.007349116;;1.02142E-05;9.941364293
1.02152E-05;-0.007349117;;1.02152E-05;9.938023785
1.02162E-05;-0.007349118;;1.02162E-05;9.934683278
